model,n,yes,no,yes_share,accuracy,precision,recall,f1,specificity,balanced_accuracy
LFM,3883,1926,1957,0.496008241050734,0.603914499098635,0.5991820040899796,0.608515057113188,0.6038124678001031,0.5993868165559529,0.6039509368345705
Llama-3.2,3883,1926,1957,0.496008241050734,0.5930981200103013,0.6790890269151139,0.3406022845275182,0.4536652835408022,0.8415942769545223,0.5910982807410202
Qwen3,3883,1926,1957,0.496008241050734,0.6090651558073654,0.6361815754339119,0.4948078920041537,0.5566588785046729,0.7215125191619827,0.6081602055830682
Majority,3883,1926,1957,0.496008241050734,0.5039917589492661,NaN,0.0,NaN,1.0,0.5
