model,metric,value
LFM,accuracy,0.603914499098635
LFM,precision,0.5991820040899796
LFM,recall,0.608515057113188
LFM,f1,0.6038124678001031
LFM,specificity,0.5993868165559529
LFM,balanced_accuracy,0.6039509368345705
